time,insertion_speed,insertion,rotation_deg,tip_x,tip_y,tip_z,tip_qx,tip_qy,tip_qz,tip_qw,tip_wall_force_x,tip_wall_force_y,tip_wall_force_z,tip_wall_force_modulus,tip_target_distance
2.016,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.022,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.028,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.034,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.04,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.046,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.052,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.058,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.064,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.07,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.076,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.082,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.088,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.094,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.1,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.106,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.112,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.118,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.124,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.13,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.136,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.142,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.148,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.154,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.16,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.166,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.172,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.178,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.184,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.19,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.196,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.202,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.208,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.214,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.22,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.226,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.232,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.238,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.244,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.25,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.256,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.262,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.268,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.274,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.28,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.286,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.292,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.298,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.304,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.31,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.316,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.322,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.328,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.334,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.34,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.346,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.352,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.358,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.364,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
